1-Costo de Adquirir clientes,,,,,,,,,,,,,,,,
,,,,Azar,Comprado,,,,,,,,,,,
costo de enviar catálogo/tasa respuesta,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tasa respuesta azar:,,"0,01",,50,"17,5",,,,,,,,,,,
Tasa respuesta comprada:,,"0,04",,,,,Tasa respuesta = Ingreso esperado por catálogo enviado/tamaño promedio orden,,,,,,,,,
Costo envío:,,"0,5",,,,,,,,,,,,,,
Costo nombre:,,"0,2",,,,,,,Prestador Servicio,,,,,,,
,,,,,,,,,Margen Bruto,20%,ventas,,,,,
,,,,,,,,,Catálogos distintos por año: 4,,,,,,,
2-Análisis Break Even de clientes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Comprador Frecuente,,,,,Año 0,Año 1,,,Comprador Frecuente,,,,,,,
Contribución marginal por compra,,,,,"$ 10,0","$ 10,0",,,Compra dos veces al año,,,,,,,
Tasa sobrevida,,,,,100%,75%,,,Compra media,$ 50,,,,,,
Costo de enviar catálogos,,,,,6,6,,,Tasa retención:,75%,,,,,,
Beneficio esperado total x cliente,,,,,"$ 14,0","$ 10,5",,,Catálogos por año,12,,,,,,
Beneficio acumulado (neto costo adquisición),,,,,"-$ 3,5","$ 7,0",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Comprador Ocasional,,,,,Año 0,Año 1,,,Comprador Ocasional,,,,,,,
Contribución marginal por compra,,,,,16,16,16,,Compra 1 vez al año,,,,,,,
Tasa sobrevida,,,,,100%,50%,25%,,Compra media,$ 80,,,,,,
Costo de enviar catálogos,,,,,6,2,2,,Tasa retención:,50%,,,,,,
Beneficio esperado total x cliente,,,,,10,7,"3,5",,Catálogos por año,4,(12 el primer año),,,,,
Beneficio acumulado (neto costo adquisición),,,,,"-7,5","-0,5",3,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3-Análisis valor de vida del cliente,,,,,,,,,,,,,,,,
,,,,,1,2,3,4,5,6,7,8,,,,
Comprador Frecuente,,,,,Año 0,Año 1,Año 2,Año 3,Año 4,Año 5,Año 6,Año 7,,Comprador Frecuente,,
Contribución marginal por compra,,,,,"$ 10,0","$ 10,0","$ 10,0","$ 10,0","$ 10,0","$ 10,0","$ 10,0","$ 10,0",,Compra dos veces al año,,
Tasa sobrevida,,,,,100%,75%,56%,42%,32%,24%,18%,13%,,Compra media,$ 50,
Costo de enviar catálogos,,,,,6,6,6,6,6,6,6,6,,Tasa retención:,75%,
Beneficio esperado total x cliente,,,,,"$ 14,0","$ 10,5","$ 7,9","$ 5,9","$ 4,4","$ 3,3","$ 2,5","$ 1,9",,Catálogos por año,12,
VPN beneficios por cliente,,,,,"$ 12,7","$ 8,7","$ 5,9","$ 4,0","$ 2,8","$ 1,9","$ 1,3","$ 0,9",,Tasa interes,10%,
Beneficios acumulados netos costo adq,,,,,"-$ 4,8","$ 3,9","$ 9,8","$ 13,9","$ 16,6","$ 18,5","$ 19,8","$ 20,6",,,,
,,,,,1,2,3,4,5,,,,,,,
Comprador Ocasional,,,,,Año 0,Año 1,,,,,,,,Comprador Ocacional,,
Contribución marginal por compra,,,,,16,16,16,16,16,,,,,Compra 1 vez al año,,
Tasa sobrevida,,,,,100%,50%,25%,"12,50%","6,25%",,,,,Compra media,$ 80,
Costo de enviar catálogos,,,,,6,2,2,2,2,,,,,Tasa retención:,50%,
Beneficio esperado total x cliente,,,,,10,7,"3,5","1,75","0,875",,,,,Catálogos por año,4,(12 el primer año)
VPN beneficios por cliente,,,,,"$ 9,1","$ 5,8","$ 2,6","$ 1,2","$ 0,5",,,,,,,
Beneficios acumulados netos costo adq,,,,,"-$ 8,4","-$ 2,6","$ 0,0","$ 1,2","$ 1,7",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CLV= (M-c)/(1-r+i)-AC,,,,,,,,,,,,,,,,
