anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;BUENOS AIRES;Anteojos; 8.165 
2019;1;ene-19;BUENOS AIRES;Artículos de Librería; 1.096 
2019;1;ene-19;BUENOS AIRES;Balnearios; 1.018 
2019;1;ene-19;BUENOS AIRES;Bicicletas; 1.429 
2019;1;ene-19;BUENOS AIRES;Calzado y Marroquinería; 122.273 
2019;1;ene-19;BUENOS AIRES;Colchones; 3.441 
2019;1;ene-19;BUENOS AIRES;Electrodomésticos; 33.880 
2019;1;ene-19;BUENOS AIRES;Indumentaria; 573.981 
2019;1;ene-19;BUENOS AIRES;Instrumentos musicales; 256 
2019;1;ene-19;BUENOS AIRES;Juguetes y Juegos de mesa; 37.150 
2019;1;ene-19;BUENOS AIRES;Libros; 2.747 
2019;1;ene-19;BUENOS AIRES;Materiales para la construcción; 37.390 
2019;1;ene-19;BUENOS AIRES;Motocicletas; 51 
2019;1;ene-19;BUENOS AIRES;Motos y Bicicletas; 10.834 
2019;1;ene-19;BUENOS AIRES;Muebles; 16.236 
2019;1;ene-19;BUENOS AIRES;Sin clasificar; 115 
2019;1;ene-19;BUENOS AIRES;Teléfonos Celulares 4G; 7.833 
2019;1;ene-19;BUENOS AIRES;Turismo; 1.656 
2019;1;ene-19;CATAMARCA;Anteojos; 121 
2019;1;ene-19;CATAMARCA;Artículos de Librería; 15 
2019;1;ene-19;CATAMARCA;Bicicletas; 39 
2019;1;ene-19;CATAMARCA;Calzado y Marroquinería; 866 
2019;1;ene-19;CATAMARCA;Colchones; 52 
2019;1;ene-19;CATAMARCA;Electrodomésticos; 353 
2019;1;ene-19;CATAMARCA;Indumentaria; 1.607 
2019;1;ene-19;CATAMARCA;Instrumentos musicales; 1 
2019;1;ene-19;CATAMARCA;Juguetes y Juegos de mesa; 161 
2019;1;ene-19;CATAMARCA;Materiales para la construcción; 286 
2019;1;ene-19;CATAMARCA;Motos y Bicicletas; 163 
2019;1;ene-19;CATAMARCA;Muebles; 66 
2019;1;ene-19;CATAMARCA;Teléfonos Celulares 4G; 48 
2019;1;ene-19;CATAMARCA;Turismo; 1 
2019;1;ene-19;CHACO;Anteojos; 310 
2019;1;ene-19;CHACO;Artículos de Librería; 16 
2019;1;ene-19;CHACO;Balnearios; 33 
2019;1;ene-19;CHACO;Bicicletas; 27 
