Pais	Codigo_Pais	Codigo_Ingresos	Codigo_Region	PBIpc	cPBIr 	VTCR	DPBI	CCPBI	RaImp	DTEEx	DTEPBI	SDTEx	DPPGEx	DPPGPBI	SDPPGEx	BPGPBI	EP2007	EG2007	CR2007	CC2007
Albania	ALB	4	2	0.0875	0.0986	-0.1675	0.0295	-0.0805	0.0957	0.0497	0.0391	0.0175	0.0498	0.0404	0.0266	-0.0379	-0.0248	-0.0531	0.0148	-0.0812
Argentina	ARG	5	3	0.1679	0.0611	-0.0448	0.085	0.0327	0.1242	0.1652	0.1261	0.2023	0.1143	0.091	0.1374	0.0624	0.0206	-0.015	-0.1175	-0.06
Armenia	ARM	4	2	0.0585	0.2046	-0.1868	0.0358	-0.0725	0.0794	0.0817	0.0775	0.054	0.0534	0.0525	0.0363	0.2688	-0.0095	-0.035	0.0377	-0.0982
Azerbaijan	AZE	4	2	0.0679	0.3024	-0.0794	0.0846	-0.0235	0.0512	0.0182	0.0304	0.0261	0.0149	0.0262	0.0156	0.0198	-0.0776	-0.0959	-0.0772	-0.1399
Bangladesh	BGD	3	6	0.0165	0.1005	0.0419	0.0378	-0.0002	0.047	0.0928	0.0526	0.0382	0.1084	0.064	0.0714	-0.0523	-0.1563	-0.1175	-0.1313	-0.1501
Belarus	BLR	5	2	0.1251	0.1353	-0.1395	0.23	-0.0339	0.0155	0.0122	0.0281	0.0231	0.0034	0.0083	0.0146	0.0069	0.0245	-0.1805	-0.2395	-0.1195
Belize	BLZ	4	3	0.0978	0.1	-0.0069	0.0171	-0.186	0.0302	0.07	0.1366	0.218	0.0804	0.1638	0.3486	-0.1616	0.0257	-0.0351	-0.0436	-0.0368
Benin	BEN	3	7	0.0212	0.0738	-0.1221	0.0256	-0.0622	0.1462	0.1466	0.0741	0.0483	0.1673	0.0882	0.0699	0.0076	0.0391	-0.0838	-0.072	-0.0594
Bolivia	BOL	4	3	0.0577	0.06	0.0397	0.0497	0.0275	0.1379	0.102	0.0961	0.1318	0.0849	0.0818	0.1046	-0.0538	-0.1109	-0.1153	-0.1809	-0.0684
Bosnia and Herzegovina	BIH	5	2	0.0899	0.0943	-0.0792	0.0432	-0.1694	0.0716	0.0764	0.0838	0.0399	0.0491	0.0545	0.0487	-0.025	-0.0661	-0.1154	-0.0446	-0.0585
Botswana	BWA	5	7	0.183	0.0863	0.0397	0.0757	0.1076	0.3946	0.005	0.0087	0.0083	0.0059	0.0106	0.0125	0.0984	0.1032	0.0973	0.069	0.1269
Brazil	BRA	5	3	0.1346	0.0608	-0.179	0.0657	0.005	0.1234	0.1039	0.05	0.3606	0.0538	0.0272	0.2123	0.0868	-0.0192	-0.019	-0.0054	-0.0294
Bulgaria	BGR	5	2	0.1375	0.0975	-0.1854	0.0509	-0.0729	0.1082	0.0546	0.1125	0.0963	0.0334	0.0697	0.0723	0.0854	0.0436	0.01	0.0931	-0.0259
Cambodia	KHM	3	1	0.0213	0.1666	-0.0198	0.0314	-0.042	0.0647	0.0456	0.0951	0.0054	0.0504	0.1098	0.0047	-0.0478	-0.0576	-0.1263	-0.0775	-0.1534
Cameroon	CMR	4	7	0.0311	0.0642	-0.1289	0.0207	-0.0322	0.0506	0.1318	0.0999	0.0899	0.137	0.1081	0.09	0.1885	-0.0365	-0.129	-0.109	-0.1321
Chile	CHL	5	3	0.1875	0.0758	-0.0624	0.0488	0.0021	0.105	0.0549	0.0733	0.1463	0.0116	0.0164	0.0388	0.1004	0.0655	0.1814	0.2224	0.1852
China	CHN	4	1	0.0601	0.1761	0.0111	0.027	0.0365	0.2323	0.0183	0.0196	0.0344	0.0096	0.0101	0.0227	-0.0303	-0.0313	0.028	-0.037	-0.0847
Colombia	COL	5	3	0.1132	0.0806	0.0147	0.0572	-0.0141	0.1193	0.0816	0.0497	0.209	0.0619	0.0394	0.2293	0.036	-0.1755	0.0041	0.0324	-0.0333
Congo. Rep.	ZAR	4	7	0.0548	0.0711	-0.1583	0.0648	0.0748	0.0282	0.0686	0.1999	0.0151	0.0695	0.2115	0.0191	0.0011	-0.274	-0.2633	-0.2067	-0.1816
Costa Rica	CRI	5	3	0.1422	0.0847	-0.0186	0.0797	-0.0543	0.047	0.0288	0.048	0.0521	0.0213	0.0368	0.06	0.0463	0.0841	0.0549	0.0752	0.0464
Cote d'Ivoire	CIV	4	7	0.0258	-0.0027	-0.1341	0.0299	0.0103	0.0555	0.0841	0.14	0.0579	0.0818	0.1426	0.0449	0.0172	-0.2366	-0.1991	-0.1497	-0.152
Dominica	DMA	5	3	0.1141	0.029	0.0171	0.0075	-0.2428	0.0511	0.0849	0.1377	0.0635	0.0838	0.1422	0.0951	0.0563	0.0962	0.0973	0.1186	0.0894
Dominican Republic	DOM	5	3	0.099	0.093	-0.0525	0.0482	-0.0343	0.0206	0.0312	0.0387	0.0459	0.0285	0.0372	0.0741	-0.0001	0.0129	-0.0684	-0.023	-0.0932
Ecuador	ECU	4	3	0.1017	0.0791	-0.0013	0.0672	-0.0031	0.0343	0.0823	0.0871	0.1687	0.0692	0.0766	0.1645	0.1096	-0.102	-0.138	-0.1671	-0.1262
Egypt. Arab Rep.	EGY	4	4	0.0689	0.0804	-0.0484	0.0559	0.0175	0.1473	0.0598	0.0488	0.0491	0.0656	0.0559	0.0761	-0.0929	-0.0731	-0.0623	-0.0469	-0.079
El Salvador	SLV	4	3	0.09	0.0485	-0.0201	0.0282	-0.0398	0.0602	0.0748	0.0725	0.0653	0.0551	0.0556	0.0994	-0.0384	0.0007	-0.0267	0.031	-0.015
Ethiopia	ETH	3	7	0.0097	0.133	-0.1494	0.0722	-0.0511	0.066	0.1865	0.088	0.0522	0.2212	0.1088	0.0767	-0.1034	-0.194	-0.0629	-0.1376	-0.0976
Fiji	FJI	5	1	0.0661	0.0163	-0.0672	0.0371	-0.0761	0.0662	0.0063	0.0134	0.0083	0.0074	0.0166	0.0132	-0.0994	0.0039	-0.0733	-0.0706	-0.0576
Gambia. The	GMB	3	7	0.0182	0.0869	-0.0139	0.0815	-0.0888	0.0756	0.1494	0.2198	0.0755	0.1684	0.258	0.1235	0.0366	-0.0034	-0.1	-0.0592	-0.1068
Georgia	GEO	4	2	0.052	0.1316	-0.1519	0.0597	-0.1057	0.0337	0.0625	0.0638	0.0588	0.0592	0.063	0.0599	0.2257	-0.078	0.0011	0.0314	-0.044
Ghana	GHA	3	7	0.0186	0.0892	-0.116	0.1629	-0.0813	0.0532	0.0832	0.1269	0.0542	0.0833	0.1326	0.0574	-0.0241	0.0257	-0.0251	-0.0019	-0.0123
Grenada	GRD	5	3	0.1212	0.0578	0.0068	0.0268	-0.3394	0.0554	0.0919	0.1178	0.0585	0.0974	0.1287	0.0942	-0.075	0.0489	0.0312	0.071	0.0507
Guatemala	GTM	4	3	0.0657	0.0662	-0.0727	0.0505	-0.0591	0.0765	0.0539	0.049	0.0649	0.03	0.0285	0.0713	-0.0086	-0.0806	-0.0779	-0.0236	-0.1022
Guinea	GIN	3	7	0.015	0.0512	-0.0012	0.104	-0.0568	0.0479	0.1477	0.1484	0.097	0.164	0.1723	0.133	-0.0274	-0.2374	-0.21	-0.1741	-0.1858
Guyana	GUY	4	3	0.0408	0.0278	-0.0398	0.0479	-0.1263	0.0741	0.0799	0.2486	0.0373	0.0816	0.2654	0.0522	-0.0389	-0.0306	-0.0114	-0.0707	-0.0891
Haiti	HTI	3	3	0.0171	0.0086	-0.1225	0.1217	-0.0197	0.024	0.1099	0.0541	0.0248	0.121	0.0623	0.0753	-0.0499	-0.1493	-0.1933	-0.132	-0.1776
Honduras	HND	4	3	0.0509	0.0915	-0.0363	0.0578	-0.0749	0.0638	0.0461	0.0906	0.0389	0.0439	0.0901	0.0326	-0.0438	-0.0479	-0.0764	-0.0335	-0.0941
India	IND	4	6	0.0337	0.1257	-0.0738	0.0342	-0.0049	0.1885	0.0502	0.0289	0.0916	0.0392	0.0223	0.1071	-0.0495	-0.11	0.0069	-0.0338	-0.0547
Indonesia	IDN	4	1	0.0497	0.0878	-0.0733	0.1094	0.0369	0.1064	0.0733	0.0906	0.1368	0.0466	0.0599	0.0879	0.0614	-0.1205	-0.0567	-0.0456	-0.0955
Jamaica	JAM	5	3	0.1113	0.0322	-0.0029	0.0923	-0.103	0.0645	0.0722	0.0966	0.1	0.0726	0.0967	0.18	-0.1096	-0.0081	0.0076	0.0472	-0.0691
Jordan	JOR	4	4	0.0667	0.1154	-0.0051	0.0193	0.0044	0.1301	0.065	0.1114	0.0576	0.0696	0.1247	0.1007	-0.0045	-0.036	0.032	0.0539	0.052
Kazakhstan	KAZ	5	2	0.1268	0.1769	-0.1324	0.1365	-0.0248	0.0696	0.0664	0.1203	0.2322	0.01	0.0188	0.0352	0.2272	0.0384	-0.0791	-0.0692	-0.1214
Kenya	KEN	3	7	0.0214	0.0703	-0.2164	0.0481	-0.0168	0.0663	0.0695	0.0617	0.0759	0.073	0.0677	0.0987	-0.0047	-0.1213	-0.0875	-0.042	-0.1333
Kyrgyz Republic	KGZ	3	2	0.0272	0.0787	-0.0904	0.0623	-0.0236	0.0947	0.107	0.1546	0.1049	0.0996	0.1501	0.0438	-0.0921	-0.1199	-0.1096	-0.0615	-0.1521
Lao PDR	LAO	3	1	0.0253	0.1156	-0.1465	0.0906	-0.0194	0.0878	0.1715	0.1879	0.1014	0.1741	0.1964	0.0634	-0.0647	-0.005	-0.1269	-0.1657	-0.1445
Latvia	LVA	5	2	0.1897	0.1526	-0.0841	0.0483	-0.1186	0.0605	0.0891	0.1385	0.1586	0.0123	0.0198	0.0265	-0.0171	0.0703	0.073	0.1622	0.0476
Lebanon	LBN	5	4	0.1495	0.0619	0.021	0.0109	-0.1883	0.2114	0.2151	0.1435	0.132	0.2062	0.1444	0.2319	-0.0013	-0.2478	-0.0869	-0.0324	-0.096
Lesotho	LSO	4	7	0.0202	0.0686	-0.0341	0.0626	-0.1194	0.1021	0.0605	0.1031	0.0513	0.0712	0.1263	0.0752	0.1532	-0.0026	-0.0596	-0.0977	-0.0321
Lithuania	LTU	5	2	0.2054	0.1299	-0.146	0.0144	-0.0799	0.0603	0.0406	0.0772	0.1301	0.0154	0.0298	0.0569	-0.0246	0.0826	0.1027	0.1713	0.025
Macedonia. FYR	MKD	5	2	0.1143	0.0472	-0.1293	0.0319	-0.0407	0.0807	0.0463	0.0734	0.0805	0.0359	0.0583	0.0718	0.0033	-0.0475	-0.0415	0.0129	-0.0391
Madagascar	MDG	3	7	0.0143	0.0631	-0.1355	0.091	-0.0911	0.0517	0.1317	0.1191	0.0384	0.1475	0.1389	0.0526	0.0797	-0.0012	-0.0533	-0.0337	-0.0241
Malaysia	MYS	5	1	0.1818	0.0975	0.0016	0.0364	0.1391	0.1018	0.016	0.0648	0.037	0.0093	0.0391	0.0327	-0.0562	0.0252	0.1622	0.0817	0.0316
