Emp	Anio	emp	Rubro	NetIncome	TotalAssets	TotalLiabilities	TotalEquity	 anualTotalRevenue	TotalOperatingExpense_Total	TotalCurrentAssets	TotalCurrentLiabilities	TotalCurrentAssetslessInvento	CostofRevenue_Total	GrossProfit_Total	SA&G_Total	OperatingIncome_total
AGRO	2012	AGRO2012	MOI	1.95	123.22	82.60	40.62	104.05	98.28	76.92	47.80	52.61	81.15	22.85	16.77	5.77
AGRO	2013	AGRO2013	MOI	4.51	137.92	69.10	68.82	132.45	121.70	105.37	53.61	82.56	100.13	32.27	20.84	10.70
AGRO	2014	AGRO2014	MOI	12.48	188.73	96.22	92.59	211.96	182.10	155.16	70.55	107.99	148.36	63.52	33.10	29.86
AGRO	2015	AGRO2015	MOI	2.70	234.40	135.60	98.80	214.50	221.30	179.20	129.10	141.10	177.80	36.50	42.80	-6.90
ALUA	2012	ALUA2012	MOI	26.85	3738.37	1379.85	2358.52	2217.17	1929.84	1452.55	745.58	452.98	1689.44	527.68	179.10	287.24
ALUA	2013	ALUA2013	MOI	6.53	4625.78	1679.34	2946.44	3308.44	2977.70	1866.87	896.55	670.16	2647.80	660.70	308.10	330.69
ALUA	2014	ALUA2014	MOI	190.55	7413.49	2787.17	4626.32	6019.91	5000.08	3585.08	1738.82	1116.29	4480.80	1539.03	521.25	1019.75
ALUA	2015	ALUA2015	MOI	177.40	11004.00	3901.00	7103.00	9483.60	7305.10	6201.00	2632.00	1838.00	6471.10	3012.50	881.60	2178.60
BESM	2012	BESM2012	MOA	-7.18	388.60	222.13	166.47	352.30	310.77	330.95	160.43	173.47	231.31	120.99	79.97	41.53
BESM	2013	BESM2013	MOA	4.56	460.21	208.03	252.18	524.41	442.36	390.38	183.87	233.82	315.93	208.37	128.06	81.94
BESM	2014	BESM2014	MOA	18.17	755.65	289.15	466.58	894.69	736.37	648.21	259.12	411.28	493.52	401.09	245.62	158.24
BESM	2015	BESM2015	MOA	26.40	1184.40	390.10	794.30	1471.70	1162.00	1044.10	328.20	688.30	748.80	722.90	412.50	309.60
BOLDT	2012	BOLDT2012	COM	9.63	329.36	122.90	206.46	151.25	131.81	112.95	79.78	108.59	93.82	57.47	43.84	19.49
BOLDT	2013	BOLDT2013	COM	10.98	498.85	197.78	301.06	227.01	166.30	202.85	115.62	198.29	121.98	104.97	45.11	60.82
BOLDT	2014	BOLDT2014	COM	11.22	856.22	369.88	486.41	377.94	282.19	490.60	331.57	484.99	203.35	174.59	81.53	95.75
BOLDT	2015	BOLDT2015	COM	29.30	1012.90	194.50	818.40	533.40	363.30	535.40	142.60	413.80	275.80	257.70	94.10	170.20
CAMU	2012	CAMU2012	ENE	-10.81	504.64	190.19	314.45	319.36	350.89	79.42	131.99	77.38	269.25	50.11	83.83	-31.58
