Year,Angola,Albania,United Arab Emirates,Argentina,Armenia,Developing Asia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kenya,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean developing,"Lao, PDR",Lebanon,Libya,Low Income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & N. Africa developing,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,High Income: Non-OECD,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Sudan,Singapore,Sierra Leone,El Salvador,Sub-Saharan Africa developing,Suriname,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,"Venezuela, RB",Vietnam,World (WBG members),Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia
1996Q4,"1265,088","47,93215","7809,911","6028,7","78,82537","107800,8",15716,15397,NA,"0,220444","44889,7","68,90115","36,1116",NA,757,"754,9963","65,3","89,20765","1448,867","22,2","301,758",11889,"64,82064","960,5721",NA,"27,69","53,76883","19405,1","3887,2",47124,"1203,71","373,8807","702,2903","2908,4","1,707841","2,545931","989,7","437,0427","5831,65",138079,"550337,2","27,9213","13,81556",13600,"808,8253","3271,372","103914,2","41849,52","1338,306","833,1","28339,96","493,89","101,2676",11072,"76579,84","847,3912",43834,"618,8101","163,8609","2,743615","17,09961","75,54483","2999,702","804,4744","182,7479",1049141,47196,"922,9104","1,2912","22,24","3255,5","922413,3","13611,1","285,55",12898,"5736,736","151,0966",510,"5127,2",66616,"309,7732","489,5589",107167,"493,1036","83,95003","35467,71","4,261813","56396,61","73,87913","274,59","2926,719",303546,NA,"51,04218","931,3","1817,4","447,1966",NA,"1928,841","196,2802","84,56538","14,4","26275,4",245684,NA,"48,35","468,3","200,4382","18349,84","75,63615","65,94922","136,0679","525,2799","142,9807","20155,76",NA,"25,29616",NA,"97,6065","52065,88",13886,3686,"126727,7","2288,057",2173,"138,6703","1503,76","5616,87","634,0954",6328,6473,"0,492006","1197,21","2071,6",25834,"8,089319",NA,NA,"323,4956","32443,31","12,66347","445,3","325914,4","116,5286","2,341615","2,117939",22513,"38,46364","14275,83",NA,"649,3475","1500,098",6732,"30370,2","302199,8","163,22","3575,9","0,636201","164419,3","637,5433",1276,"2060,213",1600998,"2,382263","1209,812","8513,304","353,2801","230,8544"
1997Q1,"1209,866","19,52569","8181,121","5773,9","37,80345","93956,4",14835,"13944,6",NA,"12,09786",43282,"57,43726","36,06389",NA,"1644,3","905,8458","76,6","93,35032","1527,658","46,61","222,6024",10657,"59,77195","1077,565",NA,"21,94","54,88017","16824,1",4956,35534,"1088,946","437,952","657,9843","2430,2","1,448506","3,566024","975,5","310,6662","5227,17",122620,"517161,2","21,83801","13,65778",11943,"1106,374","3879,017","90276,35","36039,7","1272,85","958,1","25395,12","457,185","124,4407",9568,"71175,98","859,7034",42152,"416,6528","146,4884","3,992474","8,142236","40,62065","2798,803","949,6886","112,5163","973402,1",40542,"1019,628","1,1957","20,54","3836,7",857682,"12404,7","328,35",12609,"4687,991","509,1522","473,6","5148,1",57384,"308,914","395,1002",99469,"517,5949","156,3523","29723,63","3,907453","53940,15","48,83112","166,3","2519,368","295560,7",NA,"38,80387","840,8","1727,4","378,959",NA,"1539,946","200,6994","52,27201","15,9","25098,4","220224,6",NA,"78,12","399,6","169,592","16695,47","71,43344","47,66666","101,9403","413,2486","142,5349","19760,01",NA,"50,02243",NA,"159,0775","48689,75",12822,3410,"115711,4","1986,293","2103,7","153,6219","1614,83","5505,7","594,5694","6103,8",6075,"0,512805","1325,942","1950,2",20290,"14,85376",NA,NA,"261,9284","29635,93","15,03886","610,2","316601,7","133,5237","2,336631","1,940574",20028,"14,28693","14051,25",NA,"668,0703","1363,66",6077,"28754,9","294154,3","199,98","3206,7","0,583224","164943,9","664,9076",1260,"1976,501",1491913,"3,407205","654,9993","7886,536","373,3723","298,7977"
1997Q2,"969,1647","40,41703","7643,486","7248,4","55,55439","105742,4",16239,"14935,3",NA,"34,93445","44019,4","60,20551","60,56167",NA,"1311,2","975,7126","76,5","151,2319","1690,879","48,03","298,0606",14132,"103,5389","1016,673",NA,"27,23","56,32487","18393,5","4619,3",45298,"1072,328","462,5323","584,3806","3113,1","1,774568","4,175765","1125,3","386,8517","5587,52",129511,"437584,3","24,65024","14,27889",12493,"1227,173","3284,784","101801,1","37051,02","1322,276","1067,5","27655,35","527,521","166,7581",10388,"74857,51","808,797",43231,"423,0603","173,0356","5,718702","10,70747","63,74871","2827,031","1201,236","137,8371",1030759,46097,"1035,208","1,0155","33,5",4292,"906576,8","13105,3","304,58",13361,"4283,41","794,75","455,8","4919,2",62052,"372,9951","465,2161",105701,"582,8038","145,1041","35531,78","3,475377","63222,3","52,26974","147,6","2346,446","194746,8",NA,"54,22869","959,1","1826,5","444,5749",NA,"1799,065","212,0981","50,97652","18,9","27440,5","243473,5",NA,"96,94","413,5","202,4363","16136,6","71,37487","53,11737","165,8086","402,9059","129,5279","19614,44",NA,"23,36784",NA,"156,9804","48431,65",11814,4059,124181,"1553,661","2231,1","165,9847","1858,51","6194,41","605,8509",6302,6197,"0,747821","1253,117","2202,8",20272,"29,35657",NA,NA,"304,3558","32040,86","1,11121","682,7",214751,"194,4824","2,553251","2,17772",21322,"19,05433","14038,67",NA,"670,5034","1389,35",6349,"29934,2","193337,1","174,14","3637,8","0,725985","174966,4","791,2949",1413,"2469,742",1470795,"3,517798","533,8308","9243,174","276,7098","265,1988"
1997Q3,"1046,405",NA,"7513,89","6990,5","64,23985","111315,8",15822,"14006,1",NA,"15,04225","40590,6","41,46997","65,34588",NA,"1180,1","993,0449","85,9","180,1389","1997,197","40,73","332,3856",14902,"65,49339","970,4097",NA,"24,77","54,2094","17287,8","4104,1",48215,"957,6624","518,1238","553,0099",2964,"1,529441","3,021729","1027,3","253,4866","5391,91",124236,"417383,3","31,3547","11,05593",11726,"1225,371","3202,621",107468,"38572,56","1361,428","906,7","23987,59","518,564","153,2146",9946,"67217,46","979,1204",41870,"499,4231","174,6903","2,862643","15,63159","91,11729","3613,707","931,7174","157,0654","993377,9",50744,"966,1998","1,0451","31,97","4383,1","863408,4","13992,4","317,57",13004,"4431,913","622,9143","433,1","5171,3",56619,"347,4917","530,4832",107073,"504,1552","163,8873","34181,73","3,323864","63661,66","46,07196","162,2","2326,314","167892,3",NA,"53,27928","980,7","1633,3","443,1368",NA,"1619,105","216,0316","56,15477",15,"28176,4","250679,4",NA,"61,69","392,6","250,0085","15747,85","82,69574","58,86475","123,2077","411,7898","116,5209","20276,67",NA,"18,97554",NA,"139,3292","45751,03",11355,3382,"130017,1","1790,88","2055,5","182,7536","1765,92","6662,56","559,4925","6205,2",5665,"0,675254","1338,755","2225,3",21527,"29,1736",NA,NA,"259,2365","32098,25","0,151071","554,9","187235,7","188,4626","2,285441","2,018143",19134,"18,67479","14975,6",NA,"630,105","1274,925",6512,"31077,6","166560,1","120,32","3627,5","0,729934","169041,3","642,2624",1364,"2239,751",1413166,"3,821129","639,3197","9080,189","343,7922","257,9862"
1997Q4,"1084,81",NA,"7923,449","6418,1","75,21419","116392,3",15976,"15723,3",NA,"24,46983","43922,2","25,67234","32,15111",NA,"1187,6","1010,732",56,"158,0421","2144,342","23,31","298,6909",13303,"54,09191","907,9128",NA,"24,46","57,3507","20012,5",4191,53744,"1031,133","439,4798","463,4109","3048,9","1,257806","3,139125","1077,4","352,7996","6126,1",136078,"508542,5","24,17575","13,40222",12945,"1257,261","3364,183","112154,3","43000,07","1307,809","1030,4","29223,06","636,033","147,4661",11067,"79018,43","831,0354",44857,"675,4531","146,3324","2,114384","17,25558","159,0255","2774,863","923,179","188,1248",1073120,50668,"985,2687","1,054","33,88","4876,6","941792,2","13941,2","320,23",14511,"4977,485","892,4463","487,3","5059,9",64302,"323,073","447,298",108343,"448,8769","160,4763","36727,06","3,512861","62911,92","44,93718",185,"2384,145","247037,8",NA,"49,74195","1079,5","1876,3","492,8008",NA,"2087,738","246,3536","64,35088","23,6","29716,3",261565,NA,"47,72","425,2","244,2331","17584,78","73,78875","63,5152","136,1586","518,3222","103,5138","18969,25",NA,"99,90229",NA,"121,3129","50842,03",12506,3361,"131335,7","2112,277","2367,9","169,9996","1585,29","6865,04","382,2053","7101,1",6558,"0,466126","1585,746","2032,9",24806,"14,72079",NA,NA,"309,1213","31135,07","0,937088","578,3","268217,5","184,8514","2,469111","2,234331",22400,"16,40218","15263,87",NA,"575,1803","1540,205",7322,32314,"245806,5","97,35","3759,9","0,686597","180228,4","797,636",1354,"2461,4",1583723,"3,870938","651,6984","9046,326","284,2372","233,4586"
1998Q1,"1033,366",NA,"6685,601","5890,1","50,97634","97784,99",13534,"14642,1","129,728","21,93239","43711,7","64,32914","54,30103",NA,"1101,2","911,761","101,3","147,5033","1773,803","46,32","239,1653",11907,"65,95491","612,213",NA,"61,02","55,53623","18139,5","4324,6",40456,"1316,388","427,1882","302,2199",2601,"0,971684","2,555214","1219,8","311,1319","6152,7",129051,460097,"24,57504","14,39741",11977,"1209,736","2846,004","93995,83","34106,73","1159,563","713,8","27186,7","576,931","158,8593",10591,"74720,95","675,3978",41460,"486,5842","148,1518","5,586928","9,853349","123,7234","2380,143","1026,658","175,1216","993709,8",40161,"1139,423","1,0804","42,51","4359,4","884545,3","12515,9","358,65",14350,"3607,801","604,248","397,3","5332,1",59131,"345,7741","399,1296",97895,"482,1536","211,641","32231,63","2,680659","58714,37","93,13143","155,3","1622,697","236907,2",NA,"40,82016","970,1","2007,1","452,8126",NA,"1724,077","152,4814","42,35484","21,5","28106,2","222794,9",NA,"76,52","423,3","242,6763","13422,3","70,00641","53,39968","108,0607","455,314","90,50684","17453,65",NA,"48,90536",NA,"158,8261","49158,89",11263,3143,"109113,1","1396,419","2126,7","170,967","1197,78","6816,19","364,3395","7038,8",6113,"0,545898","1353,298","2029,2",17943,"15,21515",NA,NA,"309,7509","27708,91","1,082555","715,5","255795,7","113,4934","2,478581","2,104798",20914,"13,78495","13638,74",NA,"555,6668","1346,952",6735,"26869,2","235633,8","135,04","3108,3","0,669284","172702,6","675,2672","1234,486","2129,897",1455808,"3,65605","377,716","7422,151","242,9209","229,1542"
1998Q2,"897,9913",NA,6280,"7686,1","58,69491","103792,1",14384,"15552,7","181,156","15,32923",45556,"69,44689","67,64711",NA,"1114,7","1032,055","72,4","184,7742","1896,771","45,41","276,6322",14074,"81,6643","441,9231",NA,"44,89","57,4456","18685,8","4323,7",46431,"1166,644","419,3458","379,4228","2903,4","1,209546","2,514073","1413,7","354,6985","6569,56",136223,"395384,8","33,53948","15,01667",11312,"1292,346","2517,478","99874,21","35298,43","1096,801","871,5","29107,49","635,977","169,5953",10895,"76409,07","729,6197",41233,"468,3759","159,1944","12,68475","15,69096","96,80545","2718,782","1456,496","168,2207",1014645,44645,"1146,564","1,0953","45,28","4577,6","900950,1","12053,3","314,5",15804,"3100,199","1041,512","500,5","5169,3",63134,"365,0339","421,3687",93930,"545,8329","215,8677","34877,9","2,408195","65498,99","101,8158","155,9","1568,63","159993,8",NA,"54,0893","968,3",2042,"503,6529",NA,"1714,677","158,7699","46,86442","19,6","29871,5","236452,6",NA,"88,65","482,1","239,0411","13199,53","69,36255","58,32076","131,5606","447,5566","95,23809","17690,28",NA,"67,90042",NA,"167,699","48907,31",10030,3117,"113652,8","1337,359","2222,7","183,2833","1339,29","7088,81","461,7317","7034,3",6388,"0,715295","1135,032","2067,7",18644,"15,42362",NA,NA,"261,2157","27602,77","1,847757","636,9",176737,"114,4174","2,700069","2,267308",21428,"23,41354","13278,77",NA,"579,2014","1427,117",6597,"27571,3","158657,5","105,7","3511,5","0,744914","170341,7","613,9988","1200,183","2238,244",1412757,"5,98927","347,6078","7150,067","255,3445","226,2201"
1998Q3,"777,9658",NA,"6395,491","7027,1","57,91348","106707,6",13661,15448,"200,803","9,603753","43057,2","49,33353","61,77286",NA,"1032,5","1046,27","96,1","240,1877","1671,622","38,15","301,074",13494,"50,25364","489,1852",NA,"53,87","53,60459","18156,8","3807,9",47149,"1104,811","408,3346","361,6936","2692,5","0,97604","2,770093","1396,2","323,4637","6420,55",132207,"400813,6","40,06434","14,94296",12392,"1266,724","2274,664","102945,3","34956,37","965,011","642,4","24974,38","609,819","143,9086",10357,72244,"566,9023",39644,"636,4889","177,9579","7,2727","16,5208","95,08636","3607,234","1016,068","161,3198","976544,9",45485,"1083,856","1,1719","46,07","4419,3","861805,3","12680,1","359,53",16314,"3277,931","1362,688","517,1","4893,1",58318,"315,5922","488,9907",94322,"491,5614","253,9199","30481,2","2,182055","62159,03","91,38998","154,7","1450,997","165690,6",NA,"45,9977","930,5",1898,"470,6461",NA,"1741,524","155,1955","61,68857","11,6","28586,6","236086,7",NA,"63,71","458,4","237,7398","13234,53","48,46207","67,75373","120,9457","461,4219","161,1339","18121,2",NA,"44,88658",NA,"135,4711","48697,25",9174,2779,"114724,5","1272,923","1991,8","182,2198","1564,33","7940,14","481,9193","6883,4",6079,"0,60527","1174,105","2041,4",19167,"21,12171",NA,NA,"180,0367","27340,48","1,635085","567,8","182981,1","98,77368","2,733141","2,207908",19760,"32,31752","13708,46",NA,"571,7123","1356,043",6654,"28040,8","164307,7","126,53","2935,7","0,727521","160624,5","533,2871","1204,626","2228,668",1379797,"4,335328","444,5247","7808,596","267,0935","328,0818"
1998Q4,"767,9147","63,18619","6450,528","5830,4","52,93127","110320,6",14336,"17108,8","166,064","17,70176","46743,7","49,29198","58,1543",NA,"1047,8","1034,068","93,1","202,7687","1752,665","23,81","286,8683",11665,"55,26374","436,6057",NA,"71,44","57,75859","20448,9","3866,5",49675,"1104,25","416,1611","523,6031","2693,4","0,874743","2,514898",1496,"271,0812","6766,48",146301,"540891,1","27,01012","17,66259",13157,"1235,53","2387,152","106332,5","35014,06","981,677","913,8","30126,51","703,607","132,3528",11348,"83695,37","527,0348",41660,"651,298","139,9468","3,780063","34,3293","94,98196","2911,496","903,8944","154,4189",1067908,43709,"859,6236","1,1924","41,06","5090,6","954924,7","11598,3","346,62",17972,"3132,069","2088,297","506,3","5238,8",65152,"292,4089","493,8225",102077,"473,0546","252,0714","34722,42","2,280848","61624,35","84,46206",195,"1390,067","299740,2",NA,"52,52005","841,9","2086,4","479,6188",NA,"1986,3","165,237","83,18475","21,7",30975,"240014,6",NA,"65,5","467,9","345,7629","14579,37","70,9853","65,22583","139,5365","495,2992","141,7922","19983,31",NA,"44,44483",NA,"111,2038","54457,91",9906,2991,"112907,2","1303,711","2173,1","195,0326","1655,37","7651,2","464,3018","7296,2",6863,"0,457186","1207,112","2115,4",18689,"10,9264",NA,NA,"166,9976","27339,91","3,022413","521,1","319311,6","109,3556","2,807399","2,468586",22859,"20,80757","13864,1",NA,"557,2478","1638,22",6987,"28101,1","298370,6","142,94","3081,9","0,627018","178469,7","487,7645","1575,074","2338,721",1610525,"4,314144","327,633",7074,"263,5733","237,4708"
1999Q1,"850,9865","65,89157","6003,345",5065,"48,60821","93609,34",12600,"15647,8","148,06","17,57405","44741,4","53,77562","46,2115",NA,860,"875,7416","85,2","169,3743","1336,916","51,52","229,3165",10045,"59,05787","584,1856",NA,"60,35","59,19637","18821,4","4350,7",37167,"1383,646","396,3388","323,4869","2433,8","2,099828","2,779713","1686,6","233,1988","6061,91",133197,"367870,8","36,65073","13,65222",12379,"1191,546","2553,192","89929,68","29435,6","1000,817","782,5","28484,15","565,58","103,7306",10033,"75547,06","555,1387",38817,"455,3291","117,021","3,032621","10,55907","95,83862","2692,855","1081,097","147,518","984540,6",36534,"2491,153","0,994722","41,29","5788,3","882310,7","10165,9","376,9",16789,"4527,803","1426,042","502,9","5249,2",57313,"297,5524","397,2418",97296,"501,6322","248,1868","30253,91","2,134757","59185,63","104,3208","135,3","1347,683","153270,2",NA,"33,73484",643,"1906,3","424,24",NA,"1838,383","110,8499","48,89338","17,7","29940,3","215449,8",NA,"54,68","487,9","304,6374","15131,15","42,2113","60,51444","117,8478","458,7576","75,35866","18264,08","283,2548","29,38993",NA,"145,0096","50159,48",9463,2981,"102150,7","1446,917","2057,5","202,6341","1412,43","7852,44","390,8237","6528,7",6439,"0,490061","1243,096","1892,2",15273,"9,629775",NA,NA,"186,1559","24677,23","0,707061","640,5","169731,2","133,7027","2,355017","2,116968",21034,"22,01965","13072,81",NA,"581,1346","1496,308",6479,"27763,5","152125,6","166,66","2422,2","0,509653","166604,4","459,3918","934,7053","2314,263",1355206,"3,009112","590,049","7315,312","243,1899","134,4976"
